Query,Stage,Possible Cause,Solution,Dosage per Acre,Weather Logic (Rain/No Rain),Query (Kannada),Stage (Kannada),Possible Cause (Kannada),Solution (Kannada),Query (Hindi),Stage (Hindi),Possible Cause (Hindi),Solution (Hindi)
Leaves turning yellow,Nursery,Nitrogen deficiency,Apply urea 20-25 kg/acre,Refer label / standard agronomy dose,If rain expected: avoid spray; No rain: proceed,,,,,,,,
Leaves folding,Nursery,Leaf folder pest,Spray neem oil or pesticide,Refer label / standard agronomy dose,If rain expected: avoid spray; No rain: proceed,,,,,,,,
Plants not growing,Nursery,Nutrient deficiency,Apply balanced NPK,Refer label / standard agronomy dose,If rain expected: avoid spray; No rain: proceed,,,,,,,,
Brown spots on leaves,Nursery,Fungal disease,Apply fungicide spray,Refer label / standard agronomy dose,If rain expected: avoid spray; No rain: proceed,,,,,,,,
White insects at base,Nursery,Brown planthopper,Use systemic insecticide,Refer label / standard agronomy dose,If rain expected: avoid spray; No rain: proceed,,,,,,,,
Dead central shoot,Nursery,Stem borer,Apply recommended pesticide,Refer label / standard agronomy dose,If rain expected: avoid spray; No rain: proceed,,,,,,,,
Crop drying in patches,Nursery,Water stress,Ensure proper irrigation,Refer label / standard agronomy dose,If rain expected: avoid spray; No rain: proceed,,,,,,,,
Weak seedlings,Nursery,Overwatering,Improve drainage,Refer label / standard agronomy dose,If rain expected: avoid spray; No rain: proceed,,,,,,,,
Slow growth,Nursery,Low nutrients,Apply fertilizer,Refer label / standard agronomy dose,If rain expected: avoid spray; No rain: proceed,,,,,,,,
Uneven growth,Nursery,Soil variation,Level field and fertilize,Refer label / standard agronomy dose,If rain expected: avoid spray; No rain: proceed,,,,,,,,
Leaves turning yellow,Transplanting,Nitrogen deficiency,Apply urea 20-25 kg/acre,Refer label / standard agronomy dose,If rain expected: avoid spray; No rain: proceed,,,,,,,,
Leaves folding,Transplanting,Leaf folder pest,Spray neem oil or pesticide,Refer label / standard agronomy dose,If rain expected: avoid spray; No rain: proceed,,,,,,,,
Plants not growing,Transplanting,Nutrient deficiency,Apply balanced NPK,Refer label / standard agronomy dose,If rain expected: avoid spray; No rain: proceed,,,,,,,,
Brown spots on leaves,Transplanting,Fungal disease,Apply fungicide spray,Refer label / standard agronomy dose,If rain expected: avoid spray; No rain: proceed,,,,,,,,
White insects at base,Transplanting,Brown planthopper,Use systemic insecticide,Refer label / standard agronomy dose,If rain expected: avoid spray; No rain: proceed,,,,,,,,
